Model,CLS,CTX,HYB,Tokens,Window,Rank,Language,MeanSim,Family
mbert,true,false,true,400,3,6,swa,0.6352,Bantu
mbert,true,false,true,400,3,7,kin,0.6331,Bantu
mbert,true,false,true,400,3,8,nya,0.6275,Bantu
mbert,true,false,true,400,3,9,tsn,0.6257,Bantu
mbert,true,false,true,400,3,10,ewe,0.6237,Kwa
mbert,true,false,true,400,3,11,pcm,0.6204,English Creole
mbert,true,false,true,400,3,12,hau,0.6088,Chadic
mbert,true,false,true,400,3,13,zul,0.6074,Bantu
mbert,true,false,true,400,3,14,fon,0.6046,Kwa
mbert,true,false,true,400,3,15,xho,0.6045,Bantu
mbert,true,false,true,400,3,16,bam,0.6017,Mande
mbert,true,false,true,400,3,17,wol,0.5951,Atlantic-Congo
mbert,true,false,true,400,3,18,mos,0.5925,Gur
mbert,true,false,true,400,3,19,bbj,0.5672,Bantu
mbert,true,false,true,400,3,20,yor,0.5432,Volta-Niger
mbert,true,false,true,200,0,1,lug,0.6825,Bantu
mbert,true,false,true,200,0,2,twi,0.658,Kwa
mbert,true,false,true,200,0,3,luo,0.6498,Nilotic
mbert,true,false,true,200,0,4,ibo,0.6476,Volta-Niger
mbert,true,false,true,200,0,5,kin,0.6443,Bantu
mbert,true,false,true,200,0,6,swa,0.638,Bantu
mbert,true,false,true,200,0,7,sna,0.6352,Bantu
mbert,true,false,true,200,0,8,pcm,0.6225,English Creole
mbert,true,false,true,200,0,9,tsn,0.6185,Bantu
mbert,true,false,true,200,0,10,ewe,0.6175,Kwa
mbert,true,false,true,200,0,11,nya,0.6154,Bantu
mbert,true,false,true,200,0,12,hau,0.6081,Chadic
mbert,true,false,true,200,0,13,fon,0.6053,Kwa
mbert,true,false,true,200,0,14,xho,0.6048,Bantu
mbert,true,false,true,200,0,15,bam,0.6037,Mande
mbert,true,false,true,200,0,16,zul,0.6004,Bantu
mbert,true,false,true,200,0,17,wol,0.5932,Atlantic-Congo
mbert,true,false,true,200,0,18,mos,0.5858,Gur
mbert,true,false,true,200,0,19,bbj,0.5728,Bantu
mbert,true,false,true,200,0,20,yor,0.5472,Volta-Niger
mbert,true,false,true,400,0,1,lug,0.6919,Bantu
mbert,true,false,true,400,0,2,twi,0.6542,Kwa
mbert,true,false,true,400,0,3,luo,0.6527,Nilotic
mbert,true,false,true,400,0,4,ibo,0.6416,Volta-Niger
mbert,true,false,true,400,0,5,sna,0.6357,Bantu
mbert,true,false,true,400,0,6,swa,0.6352,Bantu
mbert,true,false,true,400,0,7,kin,0.6331,Bantu
mbert,true,false,true,400,0,8,nya,0.6275,Bantu
mbert,true,false,true,400,0,9,tsn,0.6257,Bantu
mbert,true,false,true,400,0,10,ewe,0.6237,Kwa
mbert,true,false,true,400,0,11,pcm,0.6204,English Creole
mbert,true,false,true,400,0,12,hau,0.6088,Chadic
mbert,true,false,true,400,0,13,zul,0.6074,Bantu
mbert,true,false,true,400,0,14,fon,0.6046,Kwa
mbert,true,false,true,400,0,15,xho,0.6045,Bantu
mbert,true,false,true,400,0,16,bam,0.6017,Mande
mbert,true,false,true,400,0,17,wol,0.5951,Atlantic-Congo
mbert,true,false,true,400,0,18,mos,0.5925,Gur
mbert,true,false,true,400,0,19,bbj,0.5672,Bantu
mbert,true,false,true,400,0,20,yor,0.5432,Volta-Niger
mbert,true,false,true,500,3,1,lug,0.6867,Bantu
mbert,true,false,true,500,3,2,twi,0.6535,Kwa
mbert,true,false,true,500,3,3,luo,0.652,Nilotic
mbert,true,false,true,500,3,4,ibo,0.6389,Volta-Niger
mbert,true,false,true,500,3,5,swa,0.6382,Bantu
